,subject_cluster_subject_cluster,vehicle_cluster_vehicle_cluster,location_cluster_location_cluster,officer_cluster_officer_cluster,action_cluster_action_cluster,date_cluster_date_cluster,occurrences,Cluster_kmeans
19320,0,0,5,2,3,5,3,2
19321,0,21,5,2,3,5,1,2
19322,1,9,0,2,17,5,1,2
19323,2,0,0,6,64,5,1,3
19324,7,2,1,6,20,5,1,3
19325,1,48,1,6,20,5,1,3
19326,7,52,0,6,20,5,1,3
19327,1,94,4,6,20,5,1,3
19328,0,0,3,6,5,5,6,3
19329,0,0,1,6,5,5,21,3
19330,6,0,4,6,0,5,1,3
19331,6,0,1,6,5,5,4,3
19332,2,0,13,4,58,9,1,8
19333,0,0,0,7,1,7,1,1
19334,1,0,9,3,6,9,1,7
19335,16,7,2,5,0,7,1,4
19336,8,0,0,3,6,9,1,7
19337,16,2,2,5,0,7,1,4
19338,10,0,0,6,1,7,1,3
19339,2,0,1,6,48,7,3,3
19340,15,0,0,6,27,7,1,3
19341,1,33,1,2,28,5,1,2
19342,7,2,6,2,5,5,1,2
19343,2,0,0,6,2,9,1,3
19344,0,30,1,2,18,5,1,2
19345,1,21,0,6,2,7,1,3
19346,2,71,0,4,73,7,1,8
19347,3,14,10,4,1,7,1,8
19348,6,39,2,1,4,12,1,6
19349,7,56,0,1,13,12,1,6
19350,0,0,2,5,10,12,4,4
19351,1,39,0,1,4,12,1,9
19352,2,0,2,5,6,12,5,4
19353,3,0,7,7,52,12,2,5
19354,14,0,7,7,52,12,1,1
19355,4,6,12,7,50,12,1,1
19356,9,0,0,1,0,12,2,5
19357,10,0,7,7,77,12,1,1
19358,2,0,7,7,11,12,4,1
19359,6,39,0,1,4,12,1,6
19360,6,0,2,5,0,12,4,4
19361,4,0,5,1,3,12,1,6
19362,16,0,1,5,79,12,1,4
19363,1,0,1,1,42,12,1,9
19364,16,0,2,5,0,12,20,4
19365,16,0,5,5,0,12,1,4
19366,1,0,7,7,27,14,2,5
19367,0,0,2,1,3,12,7,6
19368,9,0,2,7,27,14,1,1
19369,0,50,1,7,2,12,1,1
19370,15,0,7,7,27,14,1,1
19371,0,37,5,7,72,12,1,1
19372,1,0,2,1,1,14,1,9
19373,1,0,7,1,7,12,1,9
19374,1,23,5,1,0,14,1,9
19375,5,82,14,1,13,12,1,6
19376,1,13,2,1,0,12,1,9
19377,8,0,0,1,0,14,3,6
19378,8,13,1,1,20,14,1,6
19379,8,48,1,1,0,14,1,6
19380,1,0,8,1,20,14,1,9
19381,0,0,4,7,56,14,1,1
19382,3,0,0,3,6,12,7,7
19383,3,0,1,3,70,14,1,7
19384,6,0,3,1,67,13,1,6
19385,2,0,0,0,65,11,1,0
19386,1,0,1,0,20,3,4,0
19387,0,26,1,1,17,11,1,6
19388,0,0,1,3,67,3,1,7
19389,1,0,1,3,70,3,1,7
19390,1,0,2,3,5,13,2,5
19391,4,0,0,3,56,13,1,7
19392,2,0,0,3,60,13,2,5
19393,4,0,1,3,3,13,1,7
19394,1,0,1,3,3,13,3,7
19395,4,0,0,3,3,13,3,7
19396,9,87,3,3,10,13,1,7
19397,1,14,0,3,10,13,1,7
19398,0,0,0,3,3,13,3,7
19399,3,0,9,3,51,13,1,7
19400,3,0,3,0,67,13,1,0
19401,2,0,3,0,67,13,1,0
19402,2,8,3,0,21,3,1,0
19403,2,2,3,0,21,3,1,0
19404,1,0,3,0,6,3,6,0
19405,1,15,13,0,13,3,1,0
19406,1,0,1,3,51,13,2,5
19407,4,0,2,3,11,13,3,4
19408,4,0,14,3,1,13,1,7
19409,2,21,3,0,18,3,1,0
19410,4,0,12,3,33,13,1,7
19411,4,0,0,3,33,13,2,5
19412,5,0,7,3,68,13,1,7
19413,1,0,0,3,27,13,1,7
19414,2,0,0,3,33,13,2,5
19415,2,0,0,3,3,13,3,7
19416,2,0,2,3,3,13,5,4
19417,0,0,1,3,70,3,2,5
19418,2,0,0,3,60,3,1,7
19419,2,0,2,3,3,3,6,4
19420,2,0,12,3,91,11,1,7
19421,2,0,12,3,91,3,2,5
19422,2,0,9,3,10,3,2,5
19423,2,0,7,3,54,3,1,7
19424,4,0,0,3,54,3,2,5
19425,3,0,1,7,10,13,1,1
19426,0,0,5,6,0,5,2,5
19427,0,0,1,6,24,7,3,3
19428,0,0,10,1,56,10,1,6
19429,5,0,5,7,34,3,1,1
19430,9,2,0,0,24,3,1,0
19431,0,0,7,1,1,10,1,6
19432,16,0,2,5,3,13,1,4
19433,6,4,6,6,18,7,1,3
19434,10,13,1,6,18,7,1,3
19435,1,0,1,6,5,7,16,3
19436,2,0,6,6,6,7,1,3
19437,2,0,6,7,91,13,1,1
19438,1,0,1,6,41,7,1,3
19439,2,0,1,6,58,7,1,3
19440,1,46,3,6,35,7,1,3
19441,8,0,0,7,3,3,1,1
19442,1,37,1,6,18,7,1,3
19443,1,7,1,6,11,7,1,3
19444,3,0,1,6,5,7,4,3
19445,1,12,1,6,5,7,1,3
19446,14,4,1,0,0,3,1,0
19447,3,0,3,0,5,11,3,0
19448,1,0,4,7,5,3,8,1
19449,1,31,1,1,21,12,1,9
19450,3,0,1,0,73,14,2,5
19451,2,2,5,1,39,12,1,6
19452,3,0,1,0,48,0,1,0
19453,10,13,7,1,13,12,1,6
19454,5,0,3,0,32,13,1,0
19455,1,11,3,1,3,10,2,9
19456,4,0,1,6,41,4,1,3
19457,8,0,5,1,3,2,3,6
19458,6,0,3,0,32,7,1,0
19459,2,62,13,4,0,2,1,8
19460,0,0,3,0,32,7,1,0
19461,15,0,1,7,0,2,1,1
19462,10,2,0,4,7,2,1,8
19463,0,0,1,0,32,7,5,0
19464,10,0,1,4,0,2,1,8
19465,6,0,3,0,28,7,1,0
19466,10,0,2,4,0,2,1,8
19467,1,5,1,1,80,0,1,9
19468,1,0,5,1,90,10,1,9
19469,4,0,1,6,31,4,1,3
19470,1,0,3,6,31,4,1,3
19471,6,0,5,1,28,12,1,6
19472,16,0,2,5,7,2,3,4
19473,0,0,2,6,6,10,1,3
19474,6,15,1,0,28,7,1,0
19475,4,0,2,7,7,2,2,5
19476,0,0,13,4,61,2,1,8
19477,6,51,1,0,50,7,1,0
19478,1,0,4,0,67,7,1,0
19479,11,0,4,7,0,10,2,5
19480,3,0,0,1,3,9,1,6
19481,5,0,0,2,1,3,1,2
19482,1,60,0,2,20,9,1,2
19483,1,34,1,2,20,9,1,2
19484,0,0,0,2,11,3,1,2
19485,0,50,1,2,0,9,1,2
19486,0,0,2,3,5,7,2,5
19487,3,0,3,3,5,7,1,7
19488,5,45,1,2,4,2,1,2
19489,2,77,1,2,10,9,1,2
19490,0,36,10,2,2,7,1,2
19491,4,0,2,3,91,9,2,5
19492,7,0,1,0,5,7,1,0
19493,6,0,10,1,3,9,1,6
19494,6,0,3,1,3,3,8,6
19495,3,0,5,3,14,9,1,7
19496,1,8,1,1,18,3,2,9
19497,0,0,1,6,6,12,9,3
19498,1,0,3,0,1,4,2,5
19499,1,18,1,1,92,12,1,9
19500,1,42,5,2,13,4,1,2
19501,1,36,0,1,0,12,1,9
19502,1,77,1,2,4,10,1,2
19503,3,0,8,0,73,14,1,0
19504,0,49,3,1,5,0,1,6
19505,0,0,7,7,48,2,1,1
19506,0,5,1,6,13,2,1,3
19507,14,0,7,7,11,2,1,1
19508,1,7,6,1,20,8,1,9
19509,2,0,5,2,44,2,1,2
19510,4,8,13,4,52,2,1,8
19511,0,4,0,0,70,14,1,0
19512,4,0,8,4,24,2,1,8
19513,4,0,0,7,8,10,1,1
19514,15,38,3,0,28,10,1,0
19515,1,0,5,7,0,2,2,5
19516,0,0,4,7,10,2,1,1
19517,6,7,3,0,49,5,1,0
19518,0,0,3,0,52,10,1,0
19519,3,0,5,7,5,2,4,1
19520,12,9,3,0,28,10,1,0
19521,8,7,3,0,12,10,1,0
19522,1,0,3,0,9,14,1,0
19523,1,0,1,0,68,12,2,5
19524,1,24,0,1,3,12,1,9
19525,1,44,2,2,18,2,1,2
19526,6,0,3,0,68,12,2,5
19527,5,0,9,0,0,12,1,0
19528,4,18,12,0,0,12,1,0
19529,1,1,3,1,17,4,1,9
19530,1,24,1,2,17,2,1,2
19531,3,0,1,0,68,12,1,0
19532,0,0,1,6,25,2,4,3
19533,1,0,1,7,82,2,1,1
19534,0,0,1,0,9,14,1,0
19535,0,0,1,1,11,12,12,6
19536,7,0,1,6,25,10,1,3
19537,2,0,2,7,63,2,3,1
19538,1,35,11,1,56,12,1,9
19539,7,98,3,1,56,12,1,6
19540,7,0,2,1,7,2,1,6
19541,1,37,1,0,17,14,1,0
19542,0,0,2,7,50,2,1,1
19543,0,64,1,0,64,14,1,0
19544,1,0,2,7,40,2,1,1
19545,1,45,1,0,59,14,1,0
19546,7,16,1,1,4,1,1,6
19547,1,0,9,1,5,12,5,9
19548,2,0,1,7,0,10,3,1
19549,5,2,10,1,56,12,1,6
19550,3,0,6,1,32,12,1,6
19551,2,38,3,7,11,10,1,1
19552,4,0,6,7,0,10,3,1
19553,0,82,0,6,17,2,1,3
19554,2,30,1,6,24,2,1,3
19555,5,0,7,7,6,2,1,1
19556,3,25,7,7,12,2,1,1
19557,14,0,3,2,0,2,1,2
19558,1,60,1,2,0,2,1,2
19559,0,0,0,0,46,14,1,0
19560,1,34,1,2,0,2,1,2
19561,7,0,1,2,0,2,7,2
19562,3,50,1,0,17,14,1,0
19563,1,80,1,2,39,2,1,2
19564,1,0,3,0,25,12,2,5
19565,4,46,6,7,18,2,1,1
19566,1,30,0,2,76,2,1,2
19567,2,0,0,0,63,14,1,0
19568,1,0,3,2,10,2,1,2
19569,8,0,0,0,17,14,1,0
19570,2,0,2,7,50,2,1,1
19571,11,0,1,1,67,10,1,6
19572,2,0,2,7,14,2,2,5
19573,14,46,3,1,56,4,1,6
19574,15,0,2,7,14,2,2,5
19575,0,0,9,1,5,14,1,6
19576,5,0,0,1,11,0,2,5
19577,0,14,2,1,0,0,1,6
19578,0,53,1,1,0,0,2,6
19579,5,0,2,0,73,14,1,0
19580,1,0,1,0,73,14,2,5
19581,0,0,8,7,48,9,1,1
19582,12,0,1,7,0,9,3,1
19583,14,0,7,7,5,9,4,1
19584,3,26,7,7,28,9,1,1
19585,1,82,4,1,46,9,1,9
19586,8,0,0,1,3,9,7,6
19587,0,0,1,1,11,9,1,6
19588,1,0,1,0,59,7,1,0
19589,2,0,1,7,48,13,1,1
19590,4,0,7,3,0,3,1,7
19591,2,0,9,3,19,9,1,7
19592,8,0,2,5,20,9,1,4
19593,9,0,3,5,10,9,1,4
19594,5,5,8,4,13,3,1,8
19595,3,7,8,4,51,3,1,8
19596,12,59,1,2,4,9,1,2
19597,0,77,1,4,70,3,1,8
19598,1,93,1,2,4,9,3,2
19599,2,0,8,4,70,3,2,5
19600,2,0,8,4,10,3,1,8
19601,8,0,8,4,51,7,1,8
19602,1,48,4,2,4,9,1,2
19603,6,7,3,1,4,3,1,6
19604,1,0,3,0,32,7,1,0
19605,6,77,0,1,18,9,1,6
19606,1,8,4,1,2,9,1,9
19607,4,0,1,6,10,3,2,5
19608,0,16,1,1,3,12,1,6
19609,0,74,11,1,7,12,1,6
19610,0,37,6,1,3,12,1,6
19611,11,0,13,3,50,1,1,7
19612,6,83,1,1,3,12,1,6
19613,1,0,2,3,8,8,1,4
19614,7,0,0,1,57,12,1,6
19615,0,0,5,1,54,12,2,5
19616,4,0,13,3,50,8,1,7
19617,0,0,2,3,80,8,2,5
19618,6,41,12,1,13,12,1,6
19619,11,0,7,3,57,8,1,7
19620,6,49,5,2,7,4,1,2
19621,1,0,3,6,63,10,1,3
19622,12,0,7,1,3,4,1,6
19623,0,0,9,2,0,4,1,2
19624,2,34,1,0,5,4,1,0
19625,7,5,1,2,39,4,1,2
19626,1,0,8,6,0,2,1,3
19627,1,58,3,0,1,4,1,0
19628,1,54,4,2,4,4,1,2
19629,1,25,1,0,17,3,1,0
19630,5,0,10,0,0,12,1,0
19631,11,94,1,6,1,14,1,3
19632,11,7,1,2,10,4,1,2
19633,1,0,0,6,10,10,1,3
19634,6,9,3,0,6,4,2,5
19635,8,0,6,2,11,4,1,2
19636,0,0,2,0,6,4,2,5
19637,7,45,2,1,7,12,1,6
19638,7,0,5,0,1,4,1,0
19639,1,65,1,2,0,4,2,2
19640,0,0,8,6,0,14,1,3
19641,1,0,2,1,46,12,1,9
19642,5,9,0,1,15,12,1,6
19643,3,0,2,1,46,12,1,6
19644,0,7,0,1,57,12,1,6
19645,10,0,2,7,6,12,1,1
19646,4,7,7,1,57,12,1,6
19647,3,0,0,1,46,12,1,6
19648,4,0,2,7,6,12,1,1
19649,2,16,0,7,2,13,1,1
19650,1,0,1,6,58,14,3,3
19651,14,0,1,6,48,10,1,3
19652,1,63,2,6,10,10,1,3
19653,1,0,2,5,63,4,2,5
19654,2,0,2,5,24,4,1,4
19655,0,20,4,2,0,4,1,2
19656,2,0,0,7,28,4,1,1
19657,10,0,2,2,14,6,1,4
19658,5,0,4,2,0,5,1,2
19659,5,0,2,5,19,3,3,4
19660,1,0,10,1,10,3,1,9
19661,0,4,6,0,6,10,1,0
19662,0,0,6,1,3,3,4,6
19663,16,13,11,1,5,5,1,6
19664,5,0,1,1,5,5,5,6
19665,3,0,3,1,5,5,3,6
19666,1,2,1,1,0,3,2,9
19667,1,47,2,1,0,3,1,9
19668,1,21,1,1,0,3,4,9
19669,0,11,10,1,0,3,1,6
19670,2,0,3,1,0,3,3,6
19671,10,0,1,7,60,3,1,1
19672,0,41,1,7,76,3,1,1
19673,1,9,0,1,17,3,1,9
19674,3,26,1,1,13,3,1,6
19675,13,58,0,5,3,3,1,7
19676,0,94,1,0,17,3,2,0
19677,1,0,5,1,10,3,4,9
19678,11,0,2,5,32,3,1,4
19679,1,0,5,1,77,3,1,9
19680,1,0,1,1,31,3,2,5
19681,0,90,13,1,42,5,1,6
19682,1,24,2,2,13,5,1,2
19683,1,25,0,1,13,5,1,9
19684,5,78,1,2,13,5,1,2
19685,6,0,3,2,0,3,3,2
19686,1,0,5,2,3,3,3,2
19687,0,8,3,2,5,3,1,2
19688,0,5,1,2,20,3,1,2
19689,0,1,1,1,5,11,1,6
19690,3,8,0,0,26,3,1,0
19691,3,0,0,1,20,11,1,6
19692,1,0,10,1,5,3,1,9
19693,0,0,4,1,5,3,3,6
19694,12,0,2,1,5,11,2,5
19695,4,45,1,6,5,5,1,3
19696,3,24,12,0,0,9,1,0
19697,14,0,2,1,5,11,1,6
19698,5,0,1,1,5,11,5,6
19699,1,64,1,1,5,5,2,9
19700,10,49,3,0,17,2,1,0
19701,7,50,13,1,21,5,1,6
19702,1,29,8,1,42,5,1,9
19703,4,0,0,5,6,11,3,7
19704,4,0,2,5,6,11,2,5
19705,3,0,1,1,11,5,2,5
19706,0,25,13,1,21,11,1,6
19707,1,38,4,1,3,10,1,9
19708,0,0,0,5,69,5,1,7
19709,2,0,1,0,5,5,1,0
19710,7,88,1,6,1,3,1,3
19711,11,0,2,7,25,3,1,1
19712,6,0,1,1,43,10,1,6
19713,1,0,3,1,91,4,2,5
19714,4,0,6,7,70,3,1,1
19715,1,0,9,1,40,10,1,9
19716,14,0,1,7,20,13,1,1
19717,1,51,0,7,20,13,1,1
19718,2,18,4,7,2,13,1,1
19719,0,0,4,7,10,13,3,1
19720,3,0,4,7,67,13,2,5
19721,3,7,4,7,14,13,1,1
19722,0,0,0,7,5,13,3,1
19723,3,26,2,5,10,3,1,4
19724,1,0,4,1,5,3,6,9
19725,4,0,2,5,0,11,5,4
19726,1,0,4,1,11,3,9,9
19727,1,0,3,5,40,3,1,4
19728,1,0,7,5,11,3,1,4
19729,0,44,1,2,3,11,1,2
19730,0,11,2,5,7,3,1,4
19731,6,44,3,2,3,11,1,2
19732,16,45,0,5,3,3,1,7
19733,1,24,2,2,13,11,2,2
19734,3,0,1,1,10,3,2,5
19735,0,0,4,1,3,3,7,6
19736,14,11,0,0,46,3,1,0
19737,1,0,11,1,7,3,1,9
19738,12,0,3,0,63,9,1,0
19739,3,0,3,0,63,9,1,0
19740,0,27,3,0,4,9,1,0
19741,5,0,1,1,5,3,8,6
19742,1,21,0,1,13,11,1,9
19743,1,0,6,1,11,3,1,9
19744,6,0,2,5,0,13,3,4
19745,1,0,1,0,6,11,3,0
19746,2,0,9,1,3,3,1,6
19747,2,0,0,1,3,3,2,5
19748,16,0,2,5,10,3,7,4
19749,2,0,0,7,60,3,1,1
19750,2,2,0,7,0,3,2,5
19751,2,5,0,7,10,3,1,1
19752,2,0,0,7,70,3,3,1
19753,2,0,0,7,10,3,6,1
19754,1,7,0,1,17,3,1,9
19755,1,0,5,2,56,5,1,2
19756,1,11,10,0,17,6,1,0
19757,0,0,2,1,3,5,3,6
19758,3,0,4,1,3,5,2,5
19759,2,0,1,1,11,5,2,5
19760,1,83,1,0,17,2,1,0
19761,3,7,0,0,4,5,1,0
19762,6,0,4,2,0,3,2,5
19763,1,0,8,0,5,5,2,5
19764,6,0,4,2,7,3,2,5
19765,1,5,1,2,17,5,1,2
19766,7,0,3,1,0,5,4,6
19767,1,7,10,1,4,7,1,9
19768,1,26,1,2,17,11,2,2
19769,1,0,10,0,5,2,2,5
19770,1,0,10,1,3,5,2,5
19771,1,0,4,1,17,11,1,9
19772,5,19,1,2,18,11,1,2
19773,16,0,0,1,5,5,1,6
19774,3,0,1,0,1,5,1,0
19775,2,17,0,0,17,4,1,0
19776,2,8,5,2,13,5,1,2
19777,1,3,5,0,4,5,1,0
19778,1,0,3,1,11,5,13,9
19779,1,0,4,2,13,5,2,5
19780,1,41,2,7,2,13,1,1
19781,1,0,3,0,26,5,3,0
19782,12,18,6,1,4,5,1,6
19783,0,21,1,1,17,11,1,6
19784,2,15,0,1,18,11,1,6
19785,12,0,1,1,11,11,1,6
19786,6,0,2,1,11,11,3,6
19787,1,0,10,1,17,3,1,9
19788,6,94,1,1,17,3,1,6
19789,4,31,0,0,46,2,1,0
19790,5,0,8,7,60,13,1,1
19791,1,0,5,7,10,13,1,1
19792,3,0,0,0,0,6,2,5
19793,10,5,0,0,46,3,1,0
19794,11,0,8,7,10,13,1,1
19795,1,0,0,0,26,3,1,0
19796,12,0,1,0,75,3,1,0
19797,2,0,5,7,60,13,1,1
19798,0,0,1,0,75,3,1,0
19799,6,14,1,1,13,3,1,6
19800,7,64,1,1,17,3,1,6
19801,1,9,1,6,7,7,2,3
19802,1,0,14,1,11,10,1,9
19803,2,0,1,0,10,4,2,5
19804,2,0,4,0,10,4,1,0
19805,1,50,1,0,17,4,1,0
19806,1,48,1,0,17,4,1,0
19807,1,73,8,0,17,4,1,0
19808,1,1,5,0,0,4,1,0
19809,1,0,3,0,25,4,1,0
19810,4,0,2,5,5,13,1,4
19811,1,0,0,1,67,1,1,9
19812,1,0,0,5,10,13,1,7
19813,1,7,6,0,5,4,1,0
19814,4,0,0,5,0,13,4,7
19815,1,0,2,5,3,13,3,4
19816,5,48,4,0,20,4,1,0
19817,6,0,1,6,6,7,1,3
19818,6,0,10,0,0,4,1,0
19819,14,0,0,4,4,5,1,8
19820,0,0,4,4,10,3,1,8
19821,2,0,8,4,7,13,1,8
19822,1,0,8,4,44,13,1,8
19823,5,4,8,4,11,13,1,8
19824,2,0,6,4,47,13,1,8
19825,14,0,1,0,75,3,1,0
19826,4,11,0,7,20,13,1,1
19827,0,11,0,0,17,4,1,0
19828,0,11,11,0,5,4,1,0
19829,9,0,1,6,6,5,1,3
19830,0,28,3,0,4,4,1,0
19831,1,17,0,5,5,13,1,7
19832,0,9,10,0,0,4,1,0
19833,0,25,4,6,0,5,1,3
19834,16,0,2,5,60,5,1,4
19835,6,0,3,7,14,13,1,1
19836,0,89,1,6,28,7,1,3
19837,6,0,3,7,70,3,1,1
19838,5,0,1,7,48,5,1,1
19839,0,6,1,0,0,13,1,0
19840,12,0,8,4,51,13,3,8
19841,0,5,1,0,64,13,1,0
19842,1,0,2,0,5,5,4,0
19843,6,0,2,0,0,13,3,0
19844,1,0,10,0,25,11,1,0
19845,1,83,4,0,0,13,1,0
19846,1,13,12,0,9,11,1,0
19847,0,0,1,0,60,11,1,0
19848,1,0,9,1,3,5,1,9
19849,9,0,1,0,60,11,1,0
19850,6,0,5,1,3,5,1,6
19851,6,0,1,7,14,10,1,1
19852,2,0,1,7,14,10,1,1
19853,10,0,0,5,70,2,1,7
19854,9,0,2,5,19,12,1,4
19855,11,0,0,5,31,4,1,7
19856,0,0,11,1,5,14,2,5
19857,8,0,3,0,5,10,1,0
19858,1,38,1,0,5,10,1,0
19859,0,5,1,0,5,10,2,5
19860,8,38,11,0,5,10,1,0
19861,0,38,3,0,5,10,1,0
19862,8,38,3,0,5,10,1,0
19863,8,5,1,0,5,10,1,0
19864,8,19,1,0,0,10,1,0
19865,6,78,3,0,5,10,1,0
19866,1,0,0,1,14,10,2,5
19867,1,7,1,1,3,10,2,9
19868,3,21,1,1,17,5,1,6
19869,1,0,1,0,55,11,10,0
19870,10,0,1,7,37,3,1,1
19871,0,45,1,0,17,13,1,0
19872,3,58,1,1,13,4,1,6
19873,7,93,1,0,17,13,1,0
19874,0,0,1,1,62,10,1,6
19875,0,0,0,0,46,13,1,0
19876,0,0,3,7,54,13,1,1
19877,14,0,2,7,24,13,1,1
19878,0,0,11,1,5,3,1,6
19879,1,0,12,1,0,5,3,9
19880,8,38,1,1,0,9,1,6
19881,7,63,1,1,0,11,1,6
19882,0,0,2,5,5,13,8,4
19883,1,0,1,0,56,13,3,0
19884,1,0,14,1,7,3,1,9
19885,3,50,10,0,13,3,1,0
19886,1,66,0,1,4,5,1,9
19887,5,45,0,0,9,3,1,0
19888,5,0,3,0,56,5,1,0
19889,1,66,1,1,4,5,1,9
19890,1,66,2,1,4,5,1,9
19891,0,0,0,0,46,3,1,0
19892,1,0,5,1,7,5,2,5
19893,0,45,3,0,17,11,1,0
19894,5,0,2,5,1,13,1,4
19895,1,0,0,5,36,13,1,7
19896,1,39,10,0,55,11,1,0
19897,6,83,7,0,17,13,1,0
19898,1,40,1,1,17,3,2,9
19899,5,0,7,7,62,13,2,5
19900,3,0,4,7,5,5,3,1
19901,5,0,3,2,10,5,1,2
19902,14,94,2,1,20,2,1,6
19903,12,0,9,1,3,2,1,6
19904,0,0,10,1,20,2,1,6
19905,4,0,0,4,10,4,1,8
19906,1,34,5,0,5,2,1,0
19907,15,0,0,4,10,4,2,5
19908,9,44,1,0,0,2,1,0
19909,6,2,3,0,17,10,1,0
19910,5,35,3,0,17,10,1,0
19911,3,0,3,0,10,10,1,0
19912,1,63,1,0,17,4,1,0
19913,9,0,10,0,69,4,1,0
19914,2,45,7,7,17,4,1,1
19915,2,0,2,7,57,4,1,1
19916,3,0,0,7,41,10,1,1
19917,6,0,7,7,12,10,1,1
19918,5,0,2,1,5,2,5,6
19919,3,0,0,0,19,4,1,0
19920,2,8,6,7,72,4,1,1
19921,1,0,1,0,46,10,7,0
19922,3,77,1,0,17,10,1,0
19923,14,15,1,0,13,10,1,0
19924,1,0,0,0,9,10,1,0
19925,1,52,1,0,17,10,1,0
19926,1,27,1,6,10,10,1,3
19927,10,0,6,6,25,10,1,3
19928,16,0,1,6,10,10,2,5
19929,6,0,8,6,10,10,1,3
19930,2,62,0,6,67,10,1,3
19931,6,0,0,6,25,10,1,3
19932,13,0,0,5,70,2,1,7
19933,1,22,0,1,3,10,1,9
19934,1,0,2,1,14,10,1,9
19935,1,22,1,1,13,10,1,9
19936,0,30,3,1,3,10,1,6
19937,0,86,1,1,3,10,1,6
19938,0,60,4,1,7,10,1,6
19939,0,44,6,1,3,10,1,6
19940,14,24,3,1,3,10,1,6
19941,2,0,1,6,10,10,4,3
19942,9,0,1,6,10,10,3,3
19943,5,0,1,6,6,10,1,3
19944,0,35,0,6,7,10,1,3
19945,2,45,8,7,12,10,1,1
19946,0,0,2,7,0,10,5,1
19947,1,97,3,1,3,10,1,9
19948,0,22,1,5,59,2,1,4
19949,13,0,2,5,71,2,1,4
19950,2,0,1,3,26,2,1,7
19951,5,0,4,1,5,12,4,6
19952,16,33,1,5,18,2,1,4
19953,13,80,0,1,3,12,1,6
19954,4,0,2,3,50,10,2,5
19955,8,0,1,7,46,2,1,1
19956,5,0,6,7,7,10,1,1
19957,0,0,12,3,6,10,1,7
19958,4,0,2,3,46,10,1,4
19959,0,0,6,1,0,14,4,6
19960,0,0,2,3,26,10,1,4
19961,13,43,1,1,7,12,1,6
19962,3,0,4,1,5,12,3,6
19963,1,0,0,1,5,12,10,9
19964,1,0,1,0,6,10,4,0
19965,1,34,5,1,17,10,1,9
19966,13,0,0,5,14,2,1,7
19967,11,0,11,3,38,14,1,7
19968,3,0,2,7,20,10,1,1
19969,13,0,1,1,66,8,1,6
19970,10,0,9,3,26,10,1,7
19971,16,0,6,3,11,2,1,7
19972,4,0,9,3,26,14,1,7
19973,1,2,0,1,4,11,1,9
19974,6,0,11,0,0,10,1,0
19975,1,0,8,2,48,10,1,2
19976,2,58,0,7,72,10,1,1
19977,1,0,0,2,6,10,3,2
19978,10,0,2,3,5,14,1,4
19979,6,0,3,7,30,2,1,1
19980,6,0,1,1,0,11,23,6
19981,1,53,2,1,20,11,1,9
19982,1,5,0,1,5,11,1,9
19983,8,0,3,1,0,11,6,6
19984,9,0,1,1,0,5,2,5
19985,4,0,1,1,6,5,1,6
19986,6,0,0,1,5,5,5,6
19987,8,0,5,1,10,5,2,5
19988,11,0,9,3,11,11,3,7
19989,16,0,2,3,1,3,1,4
19990,4,0,2,3,5,3,5,4
19991,10,0,2,3,54,3,1,4
19992,1,45,1,6,6,3,1,3
19993,4,0,0,6,0,3,2,5
19994,2,0,9,3,60,3,2,5
19995,16,0,0,5,63,3,1,7
19996,10,0,1,7,70,11,3,1
19997,1,0,3,0,6,11,1,0
19998,1,0,3,0,5,11,17,0
19999,2,0,6,7,70,3,2,5
20000,0,0,1,0,5,11,13,0
20001,5,0,4,0,0,11,1,0
20002,6,0,2,5,0,3,3,4
20003,7,5,6,1,21,12,1,6
20004,7,0,0,0,5,2,1,0
20005,12,64,6,1,17,12,1,6
20006,3,0,2,0,5,2,1,0
20007,1,83,2,0,17,2,1,0
20008,7,0,3,1,0,3,7,6
20009,0,0,1,5,0,3,5,4
20010,1,0,5,1,11,5,9,9
20011,0,0,2,0,5,11,6,0
20012,1,0,1,1,15,5,1,9
20013,5,45,3,1,21,5,1,6
20014,14,93,4,1,21,5,1,6
20015,0,0,2,5,69,13,1,4
20016,7,0,2,3,10,1,1,4
20017,1,53,1,1,0,11,4,9
20018,1,90,1,1,56,5,1,9
20019,0,24,5,1,39,11,1,6
20020,0,97,1,1,0,5,2,6
20021,1,7,7,1,0,11,1,9
20022,5,5,0,5,49,7,1,7
20023,2,0,5,1,11,11,1,6
20024,10,0,3,0,5,11,1,0
20025,9,0,0,6,70,13,1,3
20026,2,0,1,6,70,13,3,3
20027,10,0,0,6,0,13,1,3
20028,1,0,8,7,0,3,1,1
20029,14,0,5,7,0,3,1,1
20030,3,0,1,6,5,3,4,3
20031,2,0,4,6,5,3,1,3
20032,2,0,0,6,24,13,3,3
20033,2,42,0,6,48,3,1,3
20034,0,0,5,1,11,5,1,6
20035,1,0,3,1,15,5,1,9
20036,1,78,1,1,17,3,1,9
20037,0,0,0,5,78,13,1,7
20038,1,56,2,5,20,13,1,4
20039,5,38,13,4,80,1,1,8
20040,2,0,1,1,28,11,1,6
20041,0,13,2,5,0,13,1,4
20042,5,42,2,1,3,11,1,6
20043,9,95,0,1,13,11,1,6
20044,6,14,8,0,4,5,1,0
20045,1,38,1,1,20,5,1,9
20046,6,0,1,1,20,5,1,6
20047,10,7,3,1,6,5,1,6
20048,1,50,1,1,20,5,1,9
20049,0,37,3,1,0,5,1,6
20050,0,8,1,1,0,5,1,6
