,INCIDENT_UNIQUE_IDENTIFIER,SUBJECT_GENDER,SUBJECT_DETAILS,SUBJECT_RACE,SUBJECT_DETAILS.2,SEARCH_REASON,INCIDENT_REASON,INCIDENT_REASON.1,VEHICLE_MAKE,VEHICLE_YEAR,VEHICLE_COLOR,VEHICLE_DETAILS,VEHICLE_DETAILS.1,OFFICER_SUPERVISOR,OFFICER_ID,OFFICER_ASSIGNMENT,OFFICER_AGE,LOCATION_STREET_NUMBER,LOCATION_CITY,Year,Month,Day,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,UNKNOWN_FIELD_TYPE,SEARCH_CONDUCTED,SEARCH_CONDUCTED,DISPOSITION,DISPOSITION,DISPOSITION,subject_Cluster_K_Means,subject_Cluster_GMM,vehicle_Cluster_K_Means,vehicle_Cluster_GMM,location_Cluster_K_Means,location_Cluster_GMM,officer_Cluster_K_Means,officer_Cluster_GMM,action_Cluster_K_Means,action_Cluster_GMM,date_Cluster_K_Means,date_Cluster_GMM
89297,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8971.0,11817,16,0.18571428571428572,485,OTHER,0.5,0.6363636363636364,0.6,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,18,17,1,5,2,11,11
92015,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,10251,8,0.17142857142857143,2893,OTHER,0.0,0.9999999999999999,0.2,0,0,0,1,1,1,0,0,1,0,2,24,0,0,0,21,3,1,1,11,12,21
28978,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,MOTOR VEHICLE VIOLATION,VAL,HONDA,2002.0,GREY,DRIVER,MA,11756.0,116141,4,0.18571428571428572,485,Mattapan,0.5,0.8181818181818182,0.23333333333333334,0,0,0,0,1,0,1,0,1,0,1,28,1,10,0,19,19,1,6,28,12,40
111886,OTHER,1,YES,Black,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8237.0,OTHER,9,0.15714285714285714,822,Roxbury,0.75,0.7272727272727273,0.13333333333333333,0,1,0,1,0,1,0,0,1,0,8,6,0,0,1,33,1,3,5,2,6,53
18925,OTHER,1,YES,Hispanic,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,1998.0,GREY,DRIVER,MA,11610.0,116945,9,0.14285714285714285,822,Jamaica Plain,0.5,0.9999999999999999,0.7666666666666667,0,1,0,0,0,1,0,0,1,0,7,15,5,5,0,24,3,1,5,22,2,2
96476,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11612.0,99755,16,0.18571428571428572,OTHER,Dorchester,0.75,0.8181818181818182,0.26666666666666666,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,3,3,1,1,5,12,40
137570,OTHER,1,YES,Hispanic,Light,REASONABLE SUSPICION,RADIO CALL,DRUGS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,85892,2,0.14285714285714285,506,East Boston,0.0,0.9090909090909091,0.9666666666666667,0,1,0,0,0,1,0,0,1,1,7,5,0,0,0,11,27,1,6,8,5,57
132612,OTHER,1,YES,Black,Dark,CONSENT SEARCH,MOTOR VEHICLE VIOLATION,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,103782,4,0.17142857142857143,485,Dorchester,0.0,0.6363636363636364,0.5666666666666667,0,1,0,1,1,1,0,0,1,0,2,2,0,0,1,1,3,4,6,34,11,42
50030,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,86124.0,103591,16,0.18571428571428572,OTHER,Mattapan,0.5,0.36363636363636365,0.8333333333333334,0,1,0,1,0,1,0,0,1,0,1,1,1,10,2,13,26,4,1,5,3,55
74528,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10166.0,106718,1,0.17142857142857143,543,Boston,0.75,0.7272727272727273,0.4666666666666667,0,0,0,1,0,1,0,0,1,0,2,26,0,0,0,4,22,4,3,10,14,31
71334,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8695.0,91202,5,0.17142857142857143,1350,Dorchester,0.0,0.5454545454545454,0.16666666666666669,0,1,0,0,1,1,0,0,1,0,2,2,0,0,1,10,3,1,5,22,0,0
16029,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,12198,16,0.17142857142857143,OTHER,Dorchester,0.5,0.4545454545454545,0.03333333333333333,0,1,0,1,0,1,0,0,1,0,2,2,0,0,2,3,3,1,5,2,0,20
125132,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,VAL,HONDA,2002.0,GREY,DRIVER,MA,11756.0,86845,1,0.18571428571428572,4771,South End,0.0,0.09090909090909091,0.7,0,1,0,1,0,1,0,0,1,0,1,28,5,10,0,48,3,1,2,24,9,15
11452,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,OTHER,INVESTIGATE,TOYOTA,2001.0,WHITE,DRIVER,MA,11312.0,98656,16,0.17142857142857143,OTHER,Dorchester,0.5,0.9090909090909091,0.9333333333333333,0,1,0,1,0,1,0,0,1,1,2,26,3,3,2,3,2,1,0,7,5,33
138080,OTHER,1,NO,Black,Dark,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9022.0,95801,8,0.14285714285714285,2893,Boston,0.0,0.9999999999999999,0.4666666666666667,0,1,0,1,1,1,0,0,1,0,4,8,0,0,0,12,3,1,0,18,12,21
33663,OTHER,1,NO,Black,Dark,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,82917,3,0.14285714285714285,485,Roxbury,0.75,0.4545454545454545,0.13333333333333333,0,1,0,1,1,1,0,0,1,0,4,8,0,0,0,8,3,1,6,18,0,20
137095,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10166.0,51404,1,0.2571428571428571,543,Boston,0.75,0.8181818181818182,0.1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,3,1,3,10,6,52
109727,OTHER,1,YES,Black,Brown,PROBABLE CAUSE,RADIO CALL,LARCENY,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8662.0,11318,6,0.2285714285714286,106,OTHER,0.75,0.7272727272727273,0.03333333333333333,0,1,0,0,0,1,0,0,1,0,11,9,0,0,0,23,3,1,4,18,6,53
92985,OTHER,1,YES,Black,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86201.0,91889,16,0.18571428571428572,OTHER,Dorchester,0.0,0.9090909090909091,0.9,0,1,0,1,1,1,0,0,1,0,1,1,0,0,2,3,3,1,0,18,5,57
134416,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2001.0,BLUE,DRIVER,MA,11312.0,98656,16,0.17142857142857143,OTHER,Hyde Park,0.25,0.36363636363636365,0.9666666666666667,0,1,0,1,0,1,0,0,1,0,2,2,6,4,2,28,2,1,1,5,3,55
101510,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,91893,16,0.2571428571428571,2974,East Boston,0.75,0.4545454545454545,0.5333333333333333,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,37,3,1,5,22,1,49
6150,OTHER,1,YES,White,Light,PROBABLE CAUSE,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10132.0,9952,8,0.2571428571428571,2893,Boston,0.25,0.8181818181818182,0.26666666666666666,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,12,3,1,4,35,12,40
119138,OTHER,1,YES,Hispanic,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10166.0,50576,1,0.18571428571428572,543,Boston,0.75,0.2727272727272727,0.9,0,0,0,1,0,1,0,0,1,0,5,4,0,0,0,4,3,1,3,10,3,10
20912,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,HONDA,2003.0,GREY,PASSENGER,MA,11756.0,116944,4,0.18571428571428572,485,Dorchester,0.5,0.8181818181818182,0.9999999999999999,0,1,0,1,0,1,0,0,1,0,1,1,4,8,1,1,3,1,5,2,5,19
104267,OTHER,1,NO,Hispanic,Med,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,HONDA,1998.0,GREY,DRIVER,MA,9303.0,102196,11,0.1,OTHER,Roslindale,1.0,0.2727272727272727,0.4666666666666667,0,1,0,1,1,0,1,0,1,0,9,14,5,5,0,15,3,1,6,18,7,22
34652,OTHER,1,YES,Hispanic,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,OTHER,2,0.18571428571428572,506,East Boston,0.25,0.6363636363636364,0.6333333333333333,0,1,0,0,0,1,0,0,1,0,5,4,0,0,0,11,1,3,0,19,11,11
62853,OTHER,1,NO,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11312.0,81410,16,0.15714285714285714,OTHER,Dorchester,0.25,0.7272727272727273,0.4,0,1,0,1,0,1,0,0,1,0,3,7,0,0,2,3,3,1,1,5,8,31
145435,OTHER,1,YES,Black,Med,PROBABLE CAUSE,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9034.0,83205,8,0.18571428571428572,2893,Boston,0.25,0.2727272727272727,0.26666666666666666,0,1,0,1,0,1,0,0,1,0,1,28,0,0,0,12,3,1,0,18,7,12
35234,OTHER,1,NO,Hispanic,Med,REASONABLE SUSPICION,INVESTIGATIVE,VAL,HONDA,1998.0,GREY,DRIVER,MA,8773.0,88741,8,0.1,2893,Boston,0.25,0.6363636363636364,0.9999999999999999,0,1,0,1,0,1,0,0,1,0,9,12,5,5,0,12,3,1,1,6,13,4
73269,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,83575,4,0.2571428571428571,4771,Boston,0.0,0.7272727272727273,0.7,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,41,15,1,5,2,5,31
16577,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,81335,3,0.17142857142857143,485,Roxbury,0.5,0.5454545454545454,0.3333333333333333,0,1,0,1,0,1,0,0,1,0,2,2,0,0,0,8,3,1,1,5,8,0
52226,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,B&E,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10251.0,98635,8,0.2571428571428571,4771,Roxbury,0.0,0.09090909090909091,0.16666666666666669,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,46,3,1,2,1,4,3
126928,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,99731,16,0.18571428571428572,OTHER,Roxbury,0.75,0.6363636363636364,0.5333333333333333,0,1,0,1,0,1,0,0,1,0,1,1,0,0,2,7,4,1,0,18,14,17
151009,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10251.0,81698,8,0.18571428571428572,2893,Boston,1.0,0.36363636363636365,0.8666666666666667,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,12,3,1,1,5,3,55
79944,OTHER,1,YES,White,Fair,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,HONDA,1999.0,GREEN,PASSENGER,MA,8662.0,102291,6,0.14285714285714285,OTHER,South Boston,0.0,0.7272727272727273,0.9,0,1,0,1,0,1,0,0,1,0,12,13,2,2,0,6,3,4,6,18,5,31
102538,OTHER,1,YES,White,Light,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10591.0,108899,9,0.2571428571428571,822,Roxbury,0.75,0.09090909090909091,0.26666666666666666,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,33,3,4,5,22,4,3
76492,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,RADIO CALL,A&B,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8695.0,81410,5,0.17142857142857143,1350,Dorchester,0.0,0.7272727272727273,0.9333333333333333,0,1,1,1,1,1,0,1,1,0,2,2,0,0,1,10,3,1,6,31,5,31
60087,OTHER,1,YES,Hispanic,Med,CONSENT SEARCH,RADIO CALL,INVESTIGATE,HONDA,2000.0,GREEN,DRIVER,MA,11596.0,12202,2,0.18571428571428572,506,East Boston,0.25,0.9090909090909091,0.4666666666666667,0,1,0,0,0,1,0,0,1,0,5,4,3,12,0,11,3,1,4,18,12,57
136900,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8721.0,12011,8,0.17142857142857143,4771,Roxbury,0.0,0.9090909090909091,0.06666666666666668,0,1,0,1,0,1,0,0,1,0,2,26,0,0,0,46,3,1,2,15,6,29
83049,OTHER,1,NO,White,Light,PROBABLE CAUSE,RADIO CALL,AFFRAY,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,8949.0,10327,1,0.17142857142857143,2800,Charlestown,0.5,0.0,0.1,0,1,0,0,0,1,0,0,1,0,10,10,0,0,0,20,3,4,4,26,4,30
41119,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11756.0,86124,4,0.17142857142857143,485,Roxbury,0.0,0.4545454545454545,0.2,0,1,0,0,0,1,0,0,1,0,2,2,0,0,0,25,3,1,5,22,0,20
80549,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,VAL,FORD,2000.0,RED,PASSENGER,MA,11756.0,116141,4,0.18571428571428572,485,OTHER,0.75,0.2727272727272727,0.3666666666666667,0,1,0,0,0,1,1,0,1,0,1,1,2,11,0,16,19,1,2,15,7,22
128315,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,RADIO CALL,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,98660,3,0.17142857142857143,485,OTHER,0.5,0.4545454545454545,0.8666666666666667,0,1,0,1,1,1,0,0,1,0,2,26,0,0,0,17,3,2,6,9,3,23
32471,OTHER,1,NO,White,Light,PROBABLE CAUSE,INVESTIGATIVE,VAL,HONDA,2002.0,GREY,DRIVER,MA,8695.0,11053,5,0.17142857142857143,1350,Dorchester,0.25,0.9999999999999999,0.8666666666666667,0,1,0,0,0,1,0,0,1,1,10,10,5,10,1,10,3,1,2,24,2,2
17690,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,74876,16,0.17142857142857143,485,OTHER,0.5,0.6363636363636364,0.7333333333333333,0,1,0,1,1,1,0,0,1,0,2,2,0,0,2,18,3,1,1,5,11,11
69105,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10132.0,83575,16,0.18571428571428572,OTHER,Mattapan,0.5,0.6363636363636364,0.9666666666666667,0,1,0,1,1,1,0,0,1,0,1,1,0,0,2,13,15,1,5,2,13,4
52510,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,OTHER,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,11817,8,0.17142857142857143,2893,Boston,0.0,0.9090909090909091,0.23333333333333334,0,1,0,1,0,1,0,0,1,0,2,26,0,0,0,12,17,1,0,18,12,57
15285,OTHER,1,YES,Hispanic,Med,REASONABLE SUSPICION,INVESTIGATIVE,WARRANTS,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10591.0,102399,9,0.18571428571428572,822,Roxbury,0.75,0.2727272727272727,0.5333333333333333,0,1,1,1,1,1,0,0,1,0,5,4,0,0,0,33,3,4,1,23,1,22
62304,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,OTHER,INVESTIGATE,HONDA,2001.0,WHITE,PASSENGER,MA,86124.0,91907,16,0.17142857142857143,OTHER,Dorchester,0.25,0.7272727272727273,0.4666666666666667,0,1,0,1,1,1,1,0,1,0,2,2,2,9,2,3,28,1,0,18,14,31
32901,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,2003.0,GREY,PASSENGER,MA,86124.0,83575,16,0.18571428571428572,OTHER,Dorchester,0.25,0.5454545454545454,0.8,0,1,0,1,1,1,0,0,1,0,1,28,4,8,2,3,15,1,1,5,11,36
8199,OTHER,1,NO,White,Light,REASONABLE SUSPICION,INVESTIGATIVE,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11312.0,56108,16,0.17142857142857143,4562,Boston,0.75,0.36363636363636365,0.9999999999999999,0,0,0,1,0,1,0,0,1,0,10,19,0,0,2,9,12,1,1,11,3,55
23417,OTHER,1,YES,Black,Dark,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,89996,16,0.17142857142857143,OTHER,Dorchester,0.25,0.1818181818181818,0.8666666666666667,0,1,0,1,0,1,0,0,1,0,2,26,0,0,2,3,3,1,5,2,15,51
125273,OTHER,1,YES,Hispanic,Light,PROBABLE CAUSE,INVESTIGATIVE,VAL,FORD,2000.0,RED,DRIVER,MA,10739.0,93854,16,0.14285714285714285,OTHER,Dorchester,0.0,0.1818181818181818,0.9333333333333333,0,1,0,1,0,1,0,0,1,0,7,15,3,7,2,3,3,1,2,24,15,34
9526,OTHER,1,YES,Black,Med,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,HONDA,1998.0,GREY,DRIVER,MA,11756.0,103782,4,0.18571428571428572,485,Dorchester,0.75,0.1818181818181818,0.13333333333333333,0,1,0,0,1,1,1,0,1,0,1,1,5,5,1,1,3,4,1,12,10,45
13651,OTHER,1,YES,White,Light,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11596.0,11715,2,0.2571428571428571,4035,OTHER,0.5,0.5454545454545454,0.9999999999999999,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,44,3,1,1,11,13,56
84249,OTHER,1,YES,Black,Brown,REASONABLE SUSPICION,MOTOR VEHICLE VIOLATION,INVESTIGATE,HONDA,2002.0,BLACK,PASSENGER,MA,86124.0,116222,16,0.2285714285714286,OTHER,Dorchester,0.75,0.5454545454545454,0.06666666666666668,0,1,0,1,0,1,0,0,1,0,11,9,2,6,2,3,3,1,6,17,0,54
150647,OTHER,1,YES,Hispanic,Light,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,2001.0,WHITE,PASSENGER,MA,86199.0,103559,16,0.14285714285714285,OTHER,Dorchester,1.0,0.36363636363636365,0.3666666666666667,0,1,1,1,0,0,1,0,1,0,7,5,2,9,2,3,11,4,2,32,7,46
18847,OTHER,1,YES,Black,Med,PROBABLE CAUSE,INVESTIGATIVE,TRESPASSING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,11610.0,107106,3,0.18571428571428572,4771,Boston,0.5,0.7272727272727273,0.4666666666666667,0,1,0,1,1,1,0,0,1,0,1,28,0,0,0,26,7,1,2,15,14,31
49777,OTHER,1,YES,Black,Brown,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10534.0,11521,16,0.2285714285714286,OTHER,Dorchester,0.0,0.09090909090909091,0.26666666666666666,0,1,0,0,0,1,0,0,1,0,11,9,0,0,2,3,3,1,5,22,4,3
16349,OTHER,1,NO,Black,Dark,CONSENT SEARCH,RADIO CALL,INVESTIGATE,HONDA,2002.0,GREY,DRIVER,MA,7358.0,103537,11,0.14285714285714285,OTHER,Roslindale,0.5,0.4545454545454545,0.9,0,1,0,1,0,1,0,0,1,0,4,8,3,10,0,15,3,1,4,18,3,23
79492,OTHER,1,YES,White,Light,PROBABLE CAUSE,MOTOR VEHICLE VIOLATION,VAL,HONDA,1998.0,GREY,DRIVER,MA,11756.0,102676,4,0.2571428571428571,485,Dorchester,1.0,0.09090909090909091,0.7,0,1,0,1,0,1,0,0,1,0,0,0,5,5,1,1,3,4,2,3,9,15
7348,OTHER,1,YES,White,Fair,PROBABLE CAUSE,INVESTIGATIVE,PANHANDLING,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10251.0,98667,8,0.14285714285714285,2893,Boston,0.75,0.0,0.4,0,1,0,1,0,1,0,0,1,0,12,20,0,0,0,12,3,1,2,23,9,30
25073,OTHER,1,NO,Black,Dark,REASONABLE SUSPICION,RADIO CALL,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,9965.0,102369,9,0.14285714285714285,822,Roxbury,0.0,0.6363636363636364,0.7333333333333333,0,1,0,0,0,1,0,0,1,0,4,8,0,0,0,33,3,1,6,18,11,11
92844,OTHER,1,YES,Black,Dark,REASONABLE SUSPICION,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,86124.0,11817,16,0.17142857142857143,OTHER,Dorchester,0.5,0.36363636363636365,0.4,0,1,0,1,0,1,0,0,1,0,2,2,0,0,2,3,17,1,1,5,7,46
33902,OTHER,1,YES,White,Fair,PROBABLE CAUSE,OTHER,FIREARM,HONDA,2000.0,GREEN,DRIVER,MA,8662.0,114273,6,0.14285714285714285,106,OTHER,0.5,0.36363636363636365,0.13333333333333333,0,0,0,1,0,1,0,0,1,0,12,18,3,12,0,23,3,4,0,23,10,28
114941,OTHER,1,YES,Black,Med,PROBABLE CAUSE,RADIO CALL,VAL,HONDA,2002.0,GREY,DRIVER,MA,11756.0,103764,4,0.18571428571428572,485,Dorchester,0.75,0.9999999999999999,0.1,0,1,1,1,1,1,0,0,1,0,1,1,5,10,1,1,3,4,4,24,6,21
28704,OTHER,1,YES,Black,Brown,PROBABLE CAUSE,INVESTIGATIVE,INVESTIGATE,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,NO VEHICLE INVOLVED,10739.0,52976,16,0.2285714285714286,OTHER,Dorchester,0.25,0.36363636363636365,0.43333333333333335,0,1,0,1,0,1,0,0,1,0,11,9,0,0,2,3,16,1,5,2,7,39
